Generacion,Poblacion,AtraccionMediaHombreAHombre,AtraccionMediaHombreAMujer,AtraccionMediaMujerAHombre,AtraccionMediaMujerAMujer
0, 10000,0.253111,0.247883,0.251433,0.252602
1,10000,0.241357,0.238553,0.239378,0.241308
2,8456,0.287569,0.288464,0.286622,0.29099
3,8710,0.270942,0.272997,0.266372,0.268732
4,8611,0.269855,0.272385,0.271577,0.271708
5,8715,0.269736,0.269977,0.273764,0.273206
6,8918,0.269946,0.269948,0.264227,0.266852
7,9082,0.258299,0.258024,0.260235,0.260014
8,9023,0.26667,0.266676,0.267878,0.264898
9,9244,0.258672,0.25712,0.261729,0.260431
10,9266,0.263273,0.2622,0.267453,0.263919
11,9459,0.273193,0.271671,0.266276,0.261947
12,9808,0.276647,0.275821,0.279985,0.280708
13,10518,0.258584,0.259904,0.255016,0.255296
14,10523,0.254457,0.255368,0.259088,0.25968
15,10561,0.264222,0.263511,0.26351,0.263875
16,10865,0.263398,0.264636,0.26374,0.267923
17,11248,0.259637,0.260514,0.260609,0.260677
18,11399,0.263604,0.262693,0.26136,0.262226
19,11656,0.263231,0.261564,0.260172,0.258837
20,11841,0.26971,0.268146,0.275306,0.275425
